127.0.0.1 - - [07/Jan/2020:18:18:30 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/main.do HTTP/1.1" 200 19460
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/css/1_common/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/css/4_jong/top-menu.css?ver=8 HTTP/1.1" 200 398
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/css/4_jong/logo-top.css?ver=5 HTTP/1.1" 200 6455
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/css/1_common/kimi.css HTTP/1.1" 200 33457
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/css/4_jong/specialCategory.css HTTP/1.1" 200 4313
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/css/4_jong/mainBanner.css?ver=4 HTTP/1.1" 200 1793
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/js/4_jong/mobile-menu.js?ver=1 HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/logo2.png HTTP/1.1" 200 1489
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/js/4_jong/mainBanner.js?ver=1 HTTP/1.1" 200 4828
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/listTest.png HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/js/4_jong/productMenu.js?ver=1 HTTP/1.1" 200 10840
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/menusmallicon.png HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner1.png HTTP/1.1" 200 361708
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner2.png HTTP/1.1" 200 390835
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner3.png HTTP/1.1" 200 690641
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner4.png HTTP/1.1" 200 770546
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner5.png HTTP/1.1" 200 792462
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner6.png HTTP/1.1" 200 769618
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner7.png HTTP/1.1" 200 515427
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner8.png HTTP/1.1" 200 321363
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner1m.png HTTP/1.1" 200 296725
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner2m.png HTTP/1.1" 200 199747
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner3m.png HTTP/1.1" 200 107350
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner5m.png HTTP/1.1" 200 189521
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner4m.png HTTP/1.1" 200 121270
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner6m.png HTTP/1.1" 200 120867
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner7m.png HTTP/1.1" 200 140424
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/banner8m.png HTTP/1.1" 200 118993
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/menuLeft.png HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:03 +0900] "GET /dstay/resources/images/4_jong/menuRight.png HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:04 +0900] "GET /dstay/resources/images/productImages/testImage5.jpg HTTP/1.1" 200 169474
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:04 +0900] "GET /dstay/resources/images/productImages/test1.jpg HTTP/1.1" 200 70236
0:0:0:0:0:0:0:1 - - [07/Jan/2020:18:19:04 +0900] "GET /dstay/resources/images/productImages/testImage6.jpg HTTP/1.1" 200 96153
